Consumption,Production,Nuclear,Wind,Hydroelectric,Oil and Gas,Coal,Solar,Biomass
6504.166666666667,6591.566666666667,1354.7333333333333,694.4666666666667,1718.3666666666666,1264.5666666666666,1253.0333333333333,303.2,53.9
6692.0,6117.1,1210.0,794.5666666666667,1684.8,1164.7,1194.9,151.0,59.36666666666667
6535.366666666667,6618.666666666667,1274.6,774.4666666666667,1734.7666666666667,1278.2,1097.8,161.66666666666666,53.46666666666667
6248.633333333333,6290.133333333333,1237.1666666666667,1013.2,1793.9666666666667,1118.5333333333333,1119.8333333333333,184.8,52.36666666666667
6602.833333333333,6248.233333333334,1250.0333333333333,1001.1,1851.1,1274.5333333333333,1196.6333333333334,158.86666666666667,50.833333333333336
6298.766666666666,6413.133333333333,1270.2,832.0333333333333,1825.2333333333333,1154.6333333333334,1126.9333333333334,138.46666666666667,52.833333333333336
6634.833333333333,6256.8,1293.4666666666667,534.4333333333333,1707.9333333333334,1271.3666666666666,1215.8333333333333,195.2,56.166666666666664
6339.5,6568.333333333333,1269.9333333333334,756.2666666666667,1857.6,1034.5,990.6666666666666,136.03333333333333,56.53333333333333
6530.033333333334,6167.8,1334.5666666666666,688.0666666666667,1664.2666666666667,1406.4666666666667,1123.5666666666666,225.6,55.7
6664.4,6481.5,1292.9666666666667,719.1666666666666,1788.1333333333334,1187.0,1128.1,295.6666666666667,58.0
6798.966666666666,6355.3,1375.2,938.9,1388.5666666666666,1241.0333333333333,1224.5333333333333,220.16666666666666,55.6
6323.9,6196.833333333333,1293.3666666666666,785.6666666666666,1924.5666666666666,1090.9333333333334,1104.7333333333333,205.9,57.166666666666664
6461.566666666667,6597.833333333333,1305.8333333333333,1017.2,2020.1666666666667,1235.9333333333334,1199.2333333333333,169.3,60.666666666666664
6708.633333333333,6555.0,1289.7333333333333,764.4,1612.6666666666667,1219.0333333333333,1099.8666666666666,151.9,52.86666666666667
6619.733333333334,6440.4,1316.4333333333334,737.7,1693.7,1043.1,1109.0666666666666,152.5,58.43333333333333
6756.433333333333,6277.9,1341.1333333333334,735.2666666666667,1802.5333333333333,960.8,1135.5333333333333,141.83333333333334,52.766666666666666
6481.0,6556.6,1199.6,961.6666666666666,1899.6666666666667,1154.0333333333333,1044.1666666666667,220.8,55.96666666666667
6210.766666666666,6762.033333333334,1361.0,738.0666666666667,2047.3,1220.9,1004.4,171.93333333333334,53.03333333333333
6979.733333333334,6501.166666666667,1283.4,813.2666666666667,1917.2666666666667,1096.8333333333333,1223.9333333333334,149.1,54.36666666666667
6335.433333333333,6794.733333333334,1278.6,735.7,2001.1333333333334,1188.7333333333333,1096.6333333333334,184.63333333333333,53.2
6478.3,6285.166666666667,1263.3,843.3666666666667,1593.4666666666667,1267.7333333333333,1137.2,134.2,56.3
6499.9,6512.233333333334,1301.9666666666667,759.9666666666667,1654.7333333333333,1198.7,1081.2666666666667,169.66666666666666,55.733333333333334
